anchor_id,anchor_raw,anchor_text,rank,neighbor_id,neighbor_raw,neighbor_text,cosine_similarity
49,london,london,10,45,boston,boston,0.8000269532203674
34,frank,frank,1,98,accenture,accenture,0.8233093619346619
34,frank,frank,2,21,rachel,rachel,0.8232353925704956
34,frank,frank,3,49,london,london,0.8193175196647644
34,frank,frank,4,71,linux,linux,0.8183073401451111
34,frank,frank,5,64,zoom,zoom,0.7949641942977905
34,frank,frank,6,40,vehicle,vehicle,0.7935471534729004
34,frank,frank,7,93,terminal,terminal,0.7891788482666016
34,frank,frank,8,41,robot,robot,0.7831115126609802
34,frank,frank,9,29,tensorflow,tensorflow,0.7829107046127319
34,frank,frank,10,51,bob,bob,0.7803295850753784
99,panel,panel,1,60,sql,sql,0.8673225045204163
99,panel,panel,2,48,tina,tina,0.8279987573623657
99,panel,panel,3,8,port,port,0.8177902102470398
99,panel,panel,4,67,dubai,dubai,0.7897924184799194
99,panel,panel,5,85,pipeline,pipeline,0.7826250791549683
99,panel,panel,6,70,iisc,iisc,0.7779738903045654
99,panel,panel,7,96,filter,filter,0.7712169289588928
99,panel,panel,8,62,duke,duke,0.7706791758537292
99,panel,panel,9,10,jack,jack,0.7645819783210754
99,panel,panel,10,40,vehicle,vehicle,0.7581611275672913
79,hospital,hospital,1,43,excel,excel,0.7323366403579712
79,hospital,hospital,2,68,umar,umar,0.7229506969451904
79,hospital,hospital,3,50,oslo,oslo,0.7226712703704834
79,hospital,hospital,4,74,tableau,tableau,0.7192676067352295
79,hospital,hospital,5,59,studio,studio,0.6991459131240845
79,hospital,hospital,6,27,wendy,wendy,0.6777355670928955
79,hospital,hospital,7,90,prague,prague,0.6733890175819397
79,hospital,hospital,8,78,oracle,oracle,0.6571857929229736
79,hospital,hospital,9,28,yale,yale,0.6519166231155396
79,hospital,hospital,10,73,machine,machine,0.6421976685523987
88,grace,grace,1,32,madrid,madrid,0.8437556624412537
88,grace,grace,2,46,motor,motor,0.8324741125106812
88,grace,grace,3,82,embassy,embassy,0.8108903169631958
88,grace,grace,4,60,sql,sql,0.8029777407646179
88,grace,grace,5,81,scooter,scooter,0.7931895852088928
88,grace,grace,6,54,phoenix,phoenix,0.7907770872116089
88,grace,grace,7,89,airbnb,airbnb,0.7851073145866394
88,grace,grace,8,17,alice,alice,0.7710250616073608
88,grace,grace,9,34,frank,frank,0.7684056758880615
88,grace,grace,10,9,paris,paris,0.7551048994064331
27,wendy,wendy,1,73,machine,machine,0.8700159788131714
27,wendy,wendy,2,43,excel,excel,0.8306107521057129
27,wendy,wendy,3,31,zane,zane,0.8263949155807495
27,wendy,wendy,4,30,library,library,0.8202143907546997
27,wendy,wendy,5,8,port,port,0.8049994707107544
27,wendy,wendy,6,83,sydney,sydney,0.7946574687957764
27,wendy,wendy,7,3,paul,paul,0.7892950773239136
27,wendy,wendy,8,86,system,system,0.7882762551307678
27,wendy,wendy,9,45,boston,boston,0.7874239683151245
27,wendy,wendy,10,4,emma,emma,0.7819105982780457
24,berlin,berlin,1,45,boston,boston,0.8437875509262085
24,berlin,berlin,2,58,irene,irene,0.832308292388916
24,berlin,berlin,3,74,tableau,tableau,0.8022283911705017
24,berlin,berlin,4,94,warehouse,warehouse,0.7922332286834717
24,berlin,berlin,5,18,seoul,seoul,0.788772702217102
24,berlin,berlin,6,9,paris,paris,0.7814995050430298
24,berlin,berlin,7,67,dubai,dubai,0.77260422706604
24,berlin,berlin,8,40,vehicle,vehicle,0.7675464749336243
24,berlin,berlin,9,96,filter,filter,0.7653837203979492
24,berlin,berlin,10,65,printer,printer,0.7610622644424438
84,switch,switch,1,6,dave,dave,0.8559001684188843
84,switch,switch,2,87,dallas,dallas,0.8548485636711121
84,switch,switch,3,21,rachel,rachel,0.8308488130569458
84,switch,switch,4,16,slack,slack,0.8188545107841492
84,switch,switch,5,97,device,device,0.8180222511291504
84,switch,switch,6,43,excel,excel,0.8081610202789307
84,switch,switch,7,19,gallery,gallery,0.8078703880310059
84,switch,switch,8,59,studio,studio,0.8069442510604858
84,switch,switch,9,77,stadium,stadium,0.8009296655654907
84,switch,switch,10,100,platform,platform,0.7988519668579102
46,motor,motor,1,81,scooter,scooter,0.8810576796531677
46,motor,motor,2,54,phoenix,phoenix,0.855430006980896
46,motor,motor,3,88,grace,grace,0.8324741125106812
46,motor,motor,4,40,vehicle,vehicle,0.8323913812637329
46,motor,motor,5,32,madrid,madrid,0.8102066516876221
46,motor,motor,6,19,gallery,gallery,0.8019723892211914
46,motor,motor,7,82,embassy,embassy,0.7991786003112793
46,motor,motor,8,60,sql,sql,0.7921402454376221
46,motor,motor,9,85,pipeline,pipeline,0.7899582982063293
46,motor,motor,10,14,quinn,quinn,0.7819774150848389
7,amazon,amazon,1,49,london,london,0.8751901388168335
7,amazon,amazon,2,85,pipeline,pipeline,0.8548883199691772
7,amazon,amazon,3,51,bob,bob,0.8530312776565552
7,amazon,amazon,4,41,robot,robot,0.8394222259521484
7,amazon,amazon,5,73,machine,machine,0.8296824097633362
7,amazon,amazon,6,64,zoom,zoom,0.8283030986785889
7,amazon,amazon,7,40,vehicle,vehicle,0.8169644474983215
7,amazon,amazon,8,47,drone,drone,0.8129404187202454
7,amazon,amazon,9,43,excel,excel,0.8125397562980652
7,amazon,amazon,10,92,camera,camera,0.8077956438064575
62,duke,duke,1,32,madrid,madrid,0.8260177969932556
62,duke,duke,2,10,jack,jack,0.8041826486587524
62,duke,duke,3,63,campus,campus,0.7860159873962402
62,duke,duke,4,49,london,london,0.7842029333114624
62,duke,duke,5,99,panel,panel,0.7706791758537292
62,duke,duke,6,45,boston,boston,0.7608242034912109
62,duke,duke,7,30,library,library,0.758999764919281
62,duke,duke,8,73,machine,machine,0.757260799407959
62,duke,duke,9,31,zane,zane,0.7538834810256958
62,duke,duke,10,60,sql,sql,0.7530449628829956
40,vehicle,vehicle,1,18,seoul,seoul,0.8799612522125244
40,vehicle,vehicle,2,58,irene,irene,0.8698611259460449
40,vehicle,vehicle,3,77,stadium,stadium,0.861877977848053
40,vehicle,vehicle,4,60,sql,sql,0.8568258285522461
40,vehicle,vehicle,5,32,madrid,madrid,0.8540687561035156
40,vehicle,vehicle,6,67,dubai,dubai,0.8458806276321411
40,vehicle,vehicle,7,85,pipeline,pipeline,0.8362826108932495
40,vehicle,vehicle,8,94,warehouse,warehouse,0.835543155670166
40,vehicle,vehicle,9,45,boston,boston,0.8353836536407471
40,vehicle,vehicle,10,46,motor,motor,0.8323913812637329
60,sql,sql,1,99,panel,panel,0.8673225045204163
60,sql,sql,2,40,vehicle,vehicle,0.8568258285522461
60,sql,sql,3,32,madrid,madrid,0.8439396023750305
60,sql,sql,4,96,filter,filter,0.8305070400238037
60,sql,sql,5,85,pipeline,pipeline,0.8293402194976807
60,sql,sql,6,82,embassy,embassy,0.8266472816467285
60,sql,sql,7,100,platform,platform,0.8255006074905396
60,sql,sql,8,10,jack,jack,0.8223674297332764
60,sql,sql,9,0,karen,karen,0.8201708793640137
60,sql,sql,10,88,grace,grace,0.8029777407646179
26,tokyo,tokyo,1,58,irene,irene,0.8369670510292053
26,tokyo,tokyo,2,14,quinn,quinn,0.8148535490036011
26,tokyo,tokyo,3,3,paul,paul,0.8074386119842529
26,tokyo,tokyo,4,40,vehicle,vehicle,0.800887942314148
26,tokyo,tokyo,5,31,zane,zane,0.7946414947509766
26,tokyo,tokyo,6,45,boston,boston,0.7889384031295776
26,tokyo,tokyo,7,18,seoul,seoul,0.7866919636726379
26,tokyo,tokyo,8,73,machine,machine,0.7763795256614685
26,tokyo,tokyo,9,30,library,library,0.7675530910491943
26,tokyo,tokyo,10,37,adobe,adobe,0.7610421180725098
96,filter,filter,1,58,irene,irene,0.8374127149581909
96,filter,filter,2,17,alice,alice,0.8305599689483643
96,filter,filter,3,60,sql,sql,0.8305070400238037
96,filter,filter,4,0,karen,karen,0.8225520849227905
96,filter,filter,5,10,jack,jack,0.8219916820526123
96,filter,filter,6,74,tableau,tableau,0.8163399696350098
96,filter,filter,7,63,campus,campus,0.8108310103416443
96,filter,filter,8,67,dubai,dubai,0.7953602075576782
96,filter,filter,9,40,vehicle,vehicle,0.7935171127319336
96,filter,filter,10,64,zoom,zoom,0.7889198064804077
35,bicycle,bicycle,1,72,router,router,0.7768552303314209
35,bicycle,bicycle,2,93,terminal,terminal,0.7672244310379028
35,bicycle,bicycle,3,32,madrid,madrid,0.7264528870582581
35,bicycle,bicycle,4,56,sam,sam,0.707065224647522
35,bicycle,bicycle,5,40,vehicle,vehicle,0.700481116771698
35,bicycle,bicycle,6,10,jack,jack,0.6973696947097778
35,bicycle,bicycle,7,18,seoul,seoul,0.6955798864364624
35,bicycle,bicycle,8,98,accenture,accenture,0.6937977075576782
35,bicycle,bicycle,9,29,tensorflow,tensorflow,0.693503737449646
35,bicycle,bicycle,10,63,campus,campus,0.6845934987068176
