entity_id,entity_raw,entity,degree
5949,/m/03gh4,Hawaii,94
6145,/m/02wzv,French Polynesia,8
6170,/m/0404j37,The Hurt Locker,87
6431,/m/03295l,Filipino American,11
6433,/m/0gv2r,Lewis Milestone,17
6480,/m/0w7c,Acting,66
6722,/m/0dbc1s,David Mandel,32
6767,/m/059xnf,Mark Addy,42
6768,/m/02624g,Peter Dinklage,36
6790,/m/0mg1w,Fine art,25
6839,/m/0524b41,Game of Thrones,44
6859,/m/059_w,Native Americans in the United States,18
6874,/m/01lhdt,Ludwig Maximilian University of Munich,32
6993,/m/07c5l,Americas,41
7031,/m/0g9z_32,The Dictator,32
7072,/m/07h5d,Terry Gilliam,43
7105,/m/015dnt,Trevor Howard,17
7153,/m/03gvm3t,The X Factor (UK),19
7164,/m/0hwpz,True Lies,36
7215,/m/060_7,Pablo Picasso-GB,18
7223,/m/0gls4q_,Jeff Schaffer,32
7410,/m/05rrtf,Spyglass Entertainment,29
7414,/m/02q0k7v,Body of Lies,33
7563,/m/02x3y41,Green Zone,31
7629,/m/02d9nr,Punahou School,16
7686,/m/0f2sx4,I Now Pronounce You Chuck and Larry,47
7882,/m/02z3zp,Garry Shandling,38
8010,/m/030vnj,Luke Wilson,41
8059,/m/016fly,Professor-GB,23
8078,/m/015ynm,Lilo & Stitch,28
8244,/m/019n9w,Pomona College,27
8284,/m/05q2c,Occidental College,32
8315,/m/0hz_1,Michael J. Fox,40
8357,/m/05vk_d,Megan Fox,35
8755,/m/01vh08,Richard Chamberlain,11
8800,/m/0d8qb,Journalist-GB,57
8824,/m/06y3r,Steve Jobs,24
8909,/m/0lmgy,Maui County,6
8910,/m/0jbs5,Maui,13
8927,/m/063576,The George Washington University Law School,12
9037,/m/0fr9jp,Beverly Hills High School,25
9049,/m/0kbwb,Wayne's World,29
9116,/m/0633p0,Anna Deavere Smith,28
9235,/m/04fv0k,Marriott International,27
9309,/m/024jvz,"United States presidential election, 2008",3
9310,/m/07wcy,United States presidential election,1
9357,/m/0gps0z,Nicole Scherzinger,35
9397,/m/01c9x,Labour Party,5
9398,/m/0948xk,Tony Blair,20
9488,/m/0641kkh,MTV Movie Award for Most Desirable Female,23
9515,/m/010xjr,Richard Harris,39
9543,/m/058vfp4,Henry Grace,28
9563,/m/0fxky3,Alec Berg,28
9576,/m/056xkh,Be Cool,30
9661,/m/09kr66,Russian American,20
9836,/m/0p5vf,Member of Parliament-GB,31
10000,/m/0356dp,Julian Glover,34
10049,/m/0557q,Musical theatre,31
10086,/m/09x7p1,War in North-West Pakistan,6
10087,/m/07wj1,United States Air Force-GB,11
10143,/m/01trtc,Interscope Records,60
10294,/m/03rgvr,Jerome Flynn,27
10304,/m/021r6w,Edward Dmytryk,13
10326,/m/053vcrp,Hugh Hunt,26
10394,/m/0969fd,Edward Said,20
10475,/m/015nvj,Carol Reed,17
10597,/m/03c6v3,Lauren Graham,20
10612,/m/06myp,Sigmund Freud,33
10735,/m/06g4_,Richard Dawkins,28
10814,/m/02wh0,Friedrich Nietzsche,55
10830,/m/04zwtdy,Elie Samaha,27
10933,/m/0gfhg1y,Libyan Civil War,5
10934,/m/01cpjx,Major General,3
11005,/m/08_hns,David Petraeus,14
11220,/m/0444x,Jack Kemp,18
11223,/m/042g7t,Atlantic Time Zone-US,15
11270,/m/0168t,British Virgin Islands,10
11328,/m/044rv,Jakarta,11
11534,/m/0d6qjf,Central Intelligence Agency (CIA),8
11715,/m/0bbgvp,Mutiny on the Bounty,27
11847,/m/01my95,Roger Federer,13
11853,/m/0cn68,Japanese American,12
12019,/m/01cf5,Barnard College,29
12170,/m/014vk4,Condoleezza Rice,32
12294,/m/05hwn,Khyber Pakhtunkhwa,5
12427,/m/0pgm3,Chris Elliott,17
12637,/m/079dy,Saddam Hussein,13
12648,/m/0ycht,White Plains,17
13098,/m/01cpp0,2003 invasion of Iraq,11
13791,/m/016m9h,Attorneys in the United States,3
13970,/m/0v74,al-Qaeda,4
14094,/m/0dfcn,Oahu,4
14101,/m/0j1_3,Java,3
14105,/m/015cl6,Medal of Honor,2
14144,/m/060s9,Prime Minister of the United Kingdom,2
14164,/m/014wxc,Hawaiian Islands,6
14314,/m/0190_8,Church of Scotland,2
14496,/m/060m4,Prime Minister of Canada,1
